ache;parcialidade indígena guarani, guayaki;Substantivo;Normal;;
achegety;abecedário;Substantivo;Normal;;
achúra;órgãos internos de rês, miudezas;Substantivo;Normal;;
adio;saudação, despedida, adeus;Interjeição;Normal;;
ae;somente/apenas;Adjetivo;Normal;;
aguai;árvore frutífera e seu fruto;Substantivo;Normal;;
aguape;camalote, planta aquática, nenúfar;Substantivo;Normal;;
aguapeaso;flamengo;Substantivo;Normal;;
aguara;estar orgulhoso;Verbo;Normal;;
aguaraguasu ra’y;lobezno de aguará guazú;Substantivo;Normal;;
aguara’i;raposa americana pequena;Substantivo;Normal;;
aguive;desde agora;Adjetivo;Normal;;
aguyje;agradecer;Verbo;Normal;;
aguyjeve;agradecer;Verbo;Normal;;
aguyjevete;gratidão;Substantivo;Normal;;
agãgua;moderno;Adjetivo;Normal;;
agãite;em seguida;Adjetivo;Normal;;
ag̃ui;perto;Adjetivo;Normal;;
agẽ;hoje;Adjetivo;Normal;;
ahoja;manta;Substantivo;Normal;;
ahoʼiha;carpa;Substantivo;Normal;;
ahyʼo;garganta;Substantivo;Normal;;
ahyʼojere;ter náuseas;Verbo;Normal;;
ahyʼopaʼã;atragantarse;Verbo;Normal;;
ahyʼopyáu;enronquecerse;Verbo;Normal;;
ahyʼorasy;angina;Substantivo;Normal;;
ahyʼotĩ;campanilla;Substantivo;Normal;;
ahyʼoʼapi;atorarse;Verbo;Normal;;
ahy’o ruru;garrotillo, difteria, laringitis;Substantivo;Normal;;
ahániri;neg no ahániri avei tampoco;Adjetivo;Normal;;
ahógo;disnea;Substantivo;Normal;;
ahẽ;perverso;Adjetivo;Normal;;
ai;llaga;Substantivo;Normal;;
aiguyʼi;quiste;Substantivo;Normal;;
aiko;andar;Verbo;Normal;;
aime;estar;Verbo;Normal;;
aipo;invisivel ou indefinido;Adjetivo;Normal;;
aipórõ;então;Advérbio / Preposição / Conjunção;Normal;;
aisy;resinoso;Adjetivo;Normal;;
aja;quando;Adjetivo;Normal;;
ajaka;cesto;Substantivo;Normal;;
ajeve;por isso;Advérbio / Preposição / Conjunção;Normal;;
ajeʼi;faz um rato;Adjetivo;Normal;;
aju;maduro;Adjetivo;Normal;;
ajukue;sazón;Substantivo;Normal;;
ajuraroʼo;papada;Adjetivo;Normal;;
ajurigua;collar;Substantivo;Normal;;
ajutyrõka;corbata;Substantivo;Normal;;
ajuvyso;estirar o pescoço;Verbo;Normal;;
ajuʼy;laurel;Substantivo;Normal;;
ajúra;pescoço;Substantivo;Normal;;
ajúri;ao pescoço;Adjetivo;Normal;;
akamambu;ampolla;Substantivo;Normal;;
akangata;almohada;Substantivo;Normal;;
akangatu;memória;Substantivo;Normal;;
akangyta;almohada;Substantivo;Normal;;
akatúa;derecha;Adjetivo;Normal;;
akaʼẽ;pássaro;Substantivo;Normal;;
ako;distante no tempo ou no espacio;Adjetivo;Normal;;
akokuehe;antes de ontem;Adjetivo;Normal;;
akopia;comprar um producto para volverlo a vender;Verbo;Normal;;
aku;caliente;Adjetivo;Normal;;
akua;puntiagudo;Adjetivo;Normal;;
akue;em o pasado;Adjetivo;Normal;;
akuruchï;parálisis;Substantivo;Normal;;
akuruchĩ;tullid;Adjetivo;Normal;;
akuti;mamífeiro roedor parecido ao coelho, acutí;Substantivo;Normal;;
akuã;adelantarse a outro;Verbo;Normal;;
akuãngue;velocidade;Substantivo;Normal;;
aky;verde;Adjetivo;Normal;;
akytã;nudo;Adjetivo;Normal;;
akã;testa;Substantivo;Normal;;
